Fighter,Result, Opponent, R, Time,Event,Month,Day,Year,Method,Finish,Referee
Daniel Cormier,win, John Devine,1, 1:09, Strikeforce - Challengers 7,Mar ,26.0,2010.0, KO ,Punch,
Daniel Cormier,win, Gary Frazier,2, 3:39, Strikeforce - Challengers 3,Sep ,25.0,2009.0, TKO ,Punches,Kevin Nix
Dominick Reyes ,win, Volkan Oezdemir, 3, 5:00, UFC Fight Night 147 - Till vs. Masvidal,Mar ,16.0,2019.0, Decision ,Split,Leon Roberts
Dominick Reyes ,win, Ovince St. Preux, 3, 5:00, UFC 229 - Nurmagomedov vs. McGregor,Oct ,6.0,2018.0, Decision ,Unanimous,Dan Miragliotta
Dominick Reyes ,win, Jared Cannonier, 1, 2:55, UFC Fight Night 129 - Maia vs. Usman,May ,19.0,2018.0, TKO ,Punches,Marc Goddard
Dominick Reyes ,win, Jeremy Kimball, 1, 3:39, UFC 218 - Holloway vs. Aldo 2,Dec ,2.0,2017.0, Submission ,Rear-Naked Choke,Bobby Wombacher
Dominick Reyes ,win, Joachim Christensen, 1, 0:29, UFC Fight Night 112 - Chiesa vs. Lee,Jun ,25.0,2017.0, TKO ,Punches,Gary Ritter
Dominick Reyes ,win, Jordan Powell, 1, 0:53, LFA 13 - Millender vs. Holland,Jun ,2.0,2017.0, KO ,Head Kick,Mike Beltran
Dominick Reyes ,win, Marcus Govan, 1, 0:27, HFC 32 - Hoosier Fight Club 32,Feb ,11.0,2017.0, KO ,Head Kick,
Dominick Reyes ,win, Tyler Smith, 1, 1:35, KOTC - Martial Law,Sep ,18.0,2016.0, TKO ,Punches,Michael Bell
Dominick Reyes ,win, Kelly Gray, 3, 5:00, KOTC - Sinister Intentions,Oct ,17.0,2015.0, Decision ,Unanimous,Jason Herzog
Dominick Reyes ,win, Jessie Glass, 1, 0:55, Gladiator Challenge - Carnage,Apr ,3.0,2015.0, Submission ,Guillotine Choke,Raul Porrata
Dominick Reyes ,win, Jose Rivas Jr., 1, 3:23, KOTC - Fisticuffs,Dec ,4.0,2014.0, TKO ,Punches,
Dominick Reyes ,Result, Fighter, R, Time, E,vent,,, Method/Referee,,
Dominick Reyes ,win, Shane Merveau, 1, :09, U of MMA - Fight Night 8,Aug ,24.0,2014.0, TKO ,Punches,
Dominick Reyes ,win, Osman Diaz, 1, :27, U of MMA - Fight Night 7,Jun ,1.0,2014.0, SubmissionN/A,,
Dominick Reyes ,win, Bruno Casillas, 3, 2:00, U of MMA - Fight Night 6,Mar ,30.0,2014.0, Decision ,Unanimous,
Dominick Reyes ,win, Tywone Cotton, 1, 1:20, Spar Star Promotions - Who's Next,Jan ,25.0,2014.0, KO ,Punch,
